date,area,shift,total_assigned,total_present,total_absent,critical_present,total_work_hours,total_overtime_hours,coal_production_tonnes,target_production,total_cost_inr,revenue_inr,net_profit_inr,attendance_pct,critical_absent,critical_attendance_pct,production_achievement_pct,profit_per_tonne,cost_per_tonne,revenue_per_tonne,tonnes_per_worker,tonnes_per_critical_worker,tonnes_per_work_hour,overtime_pct,critical_staff_ratio,target_gap_tonnes,profit_margin_pct,work_hours_per_tonne
07-02-2025,Korba,Morning,600,552,48,360,4416,121.2,4760.34,1333,1723219,9044646,7321427,92,240,60,357.11,1538.01,361.99,1900,8.62,13.22,1.08,2.74,65.22,3427.34,80.95,0.93
08-02-2025,Korba,Evening,600,564,36,480,4512,133.2,4691.38,1333,1695783,8913622,7217839,94,120,80,351.94,1538.53,361.47,1900,8.32,9.77,1.04,2.95,85.11,3358.38,80.98,0.96
10-02-2025,Kusmunda,Night,600,576,24,420,4608,231.6,5399.49,2500,3024569.5,11878878,8854308.5,96,180,70,215.98,1639.84,560.16,2200,9.37,12.86,1.17,5.03,72.92,2899.49,74.54,0.85
14-02-2025,Dipka,Morning,600,564,36,384,4512,170.4,5966.09,2000,2448036,16705052,14257016,94,216,64,298.3,2389.67,410.33,2800,10.58,15.54,1.32,3.78,68.09,3966.09,85.35,0.76
15-02-2025,Kusmunda,Night,600,564,36,408,4512,60,5004.9,2500,2804995,11010780,8205785,94,192,68,200.2,1639.55,560.45,2200,8.87,12.27,1.11,1.33,72.34,2504.9,74.53,0.9
16-02-2025,Dipka,Evening,600,552,48,348,4416,124.8,5320.78,2000,2187012,14898184,12711172,92,252,58,266.04,2388.97,411.03,2800,9.64,15.29,1.2,2.83,63.04,3320.78,85.32,0.83
08-06-2025,Korba,Morning,600,552,48,396,4416,183.6,3378.57,1333,1234499.5,6419283,5184783.5,92,204,66,253.46,1534.61,365.39,1900,6.12,8.53,0.77,4.16,71.74,2045.57,80.77,1.31
08-06-2025,Korba,Night,600,492,108,372,3936,97.2,4794.62,1333,1737567,9109778,7372211,82,228,62,359.69,1537.6,362.4,1900,9.75,12.89,1.22,2.47,75.61,3461.62,80.93,0.82
10-06-2025,Kusmunda,Morning,600,564,36,384,4512,205.2,5438.11,2500,3051260.5,11963842,8912581.5,94,216,64,217.52,1638.91,561.09,2200,9.64,14.16,1.21,4.55,68.09,2938.11,74.5,0.83
10-06-2025,Kusmunda,Night,600,540,60,336,4320,80.4,4797.49,2500,2694219.5,10554478,7860258.5,90,264,56,191.9,1638.41,561.59,2200,8.88,14.28,1.11,1.86,62.22,2297.49,74.47,0.9
11-06-2025,Dipka,Night,600,540,60,408,4320,272.4,5696.42,2000,2338768,15949976,13611208,90,192,68,284.82,2389.43,410.57,2800,10.55,13.96,1.32,6.31,75.56,3696.42,85.34,0.76
11-06-2025,Kusmunda,Morning,600,516,84,396,4128,140.4,5506.65,2500,3082857.5,12114630,9031772.5,86,204,66,220.27,1640.16,559.84,2200,10.67,13.91,1.33,3.4,76.74,3006.65,74.55,0.75
14-06-2025,Kusmunda,Night,600,540,60,324,4320,170.4,5291.98,2500,2966839,11642356,8675517,90,276,54,211.68,1639.37,560.63,2200,9.8,16.33,1.22,3.94,60,2791.98,74.52,0.82
16-06-2025,Dipka,Night,600,588,12,456,4704,139.2,5845.91,2000,2395664,16368548,13972884,98,144,76,292.3,2390.2,409.8,2800,9.94,12.82,1.24,2.96,77.55,3845.91,85.36,0.8
16-06-2025,Kusmunda,Evening,600,564,36,324,4512,225.6,5285.84,2500,2965062,11628848,8663786,94,276,54,211.43,1639.06,560.94,2200,9.37,16.31,1.17,5,57.45,2785.84,74.5,0.85
17-06-2025,Dipka,Night,600,576,24,432,4608,106.8,6028.68,2000,2471672,16880304,14408632,96,168,72,301.43,2390.01,409.99,2800,10.47,13.96,1.31,2.32,75,4028.68,85.36,0.76
17-06-2025,Kusmunda,Evening,600,504,96,312,4032,126,5734.29,2500,3212359.5,12615438,9403078.5,84,288,52,229.37,1639.8,560.2,2200,11.38,18.38,1.42,3.12,61.9,3234.29,74.54,0.7
28-09-2025,Korba,Morning,600,504,96,384,4032,242.4,4677.98,1333,1689593,8888162,7198569,84,216,64,350.94,1538.82,361.18,1900,9.28,12.18,1.16,6.01,76.19,3344.98,80.99,0.86
29-09-2025,Dipka,Evening,600,552,48,420,4416,218.4,5132.01,2000,2111304,14369628,12258324,92,180,70,256.6,2388.6,411.4,2800,9.3,12.22,1.16,4.95,76.09,3132.01,85.31,0.86
29-09-2025,Korba,Morning,600,492,108,300,3936,100.8,4601.24,1333,1669684,8742356,7072672,82,300,50,345.18,1537.12,362.88,1900,9.35,15.34,1.17,2.56,60.98,3268.24,80.9,0.86
29-09-2025,Korba,Night,600,528,72,384,4224,247.2,4428.24,1333,1605084,8413656,6808572,88,216,64,332.2,1537.53,362.47,1900,8.39,11.53,1.05,5.85,72.73,3095.24,80.92,0.95
30-09-2025,Kusmunda,Evening,600,564,36,372,4512,110.4,6042.57,2500,3383063.5,13293654,9910590.5,94,228,62,241.7,1640.13,559.87,2200,10.71,16.24,1.34,2.45,65.96,3542.57,74.55,0.75
01-10-2025,Kusmunda,Morning,600,540,60,396,4320,159.6,5369.96,2500,3006928,11813912,8806984,90,204,66,214.8,1640.05,559.95,2200,9.94,13.56,1.24,3.69,73.33,2869.96,74.55,0.8
02-10-2025,Dipka,Evening,600,552,48,384,4416,43.2,5670.56,2000,2326174,15877568,13551394,92,216,64,283.53,2389.78,410.22,2800,10.27,14.77,1.28,0.98,69.57,3670.56,85.35,0.78
03-10-2025,Kusmunda,Night,600,552,48,384,4416,192,5488.46,2500,3072853,12074612,9001759,92,216,64,219.54,1640.12,559.88,2200,9.94,14.29,1.24,4.35,69.57,2988.46,74.55,0.8
04-10-2025,Dipka,Morning,600,588,12,456,4704,256.8,5593.24,2000,2293546,15661072,13367526,98,144,76,279.66,2389.94,410.06,2800,9.51,12.27,1.19,5.46,77.55,3593.24,85.36,0.84
04-10-2025,Dipka,Evening,600,588,12,408,4704,255.6,5880.41,2000,2411414,16465148,14053734,98,192,68,294.02,2389.92,410.08,2800,10,14.41,1.25,5.43,69.39,3880.41,85.35,0.8
04-10-2025,Kusmunda,Evening,600,540,60,348,4320,199.2,4825.68,2500,2708024,10616496,7908472,90,252,58,193.03,1638.83,561.17,2200,8.94,13.87,1.12,4.61,64.44,2325.68,74.49,0.9
05-10-2025,Kusmunda,Evening,600,564,36,432,4512,111.6,4589.41,2500,2572625.5,10096702,7524076.5,94,168,72,183.58,1639.44,560.56,2200,8.14,10.62,1.02,2.47,76.6,2089.41,74.52,0.98
06-10-2025,Dipka,Night,600,528,72,432,4224,40.8,5785.38,2000,2369552,16199064,13829512,88,168,72,289.27,2390.42,409.58,2800,10.96,13.39,1.37,0.97,81.82,3785.38,85.37,0.73
06-10-2025,Kusmunda,Evening,600,552,48,384,4416,102,5255.64,2500,2943852,11562408,8618556,92,216,64,210.23,1639.87,560.13,2200,9.52,13.69,1.19,2.31,69.57,2755.64,74.54,0.84
18-01-2025,Korba,Evening,600,528,72,372,4224,30,4593.58,1333,1661003,8727802,7066799,88,228,62,344.6,1538.41,361.59,1900,8.7,12.35,1.09,0.71,70.45,3260.58,80.97,0.92
19-01-2025,Korba,Night,600,528,72,360,4224,104.4,4373.84,1333,1580894,8310296,6729402,88,240,60,328.12,1538.56,361.44,1900,8.28,12.15,1.04,2.47,68.18,3040.84,80.98,0.97
22-01-2025,Dipka,Evening,600,552,48,384,4416,196.8,5779.37,2000,2368948,16182236,13813288,92,216,64,288.97,2390.1,409.9,2800,10.47,15.05,1.31,4.46,69.57,3779.37,85.36,0.76
22-01-2025,Dipka,Night,600,540,60,384,4320,112.8,5992.98,2000,2456842,16780344,14323502,90,216,64,299.65,2390.05,409.95,2800,11.1,15.61,1.39,2.61,71.11,3992.98,85.36,0.72
23-01-2025,Korba,Morning,600,552,48,348,4416,117.6,4870.57,1333,1761999.5,9254083,7492083.5,92,252,58,365.38,1538.24,361.76,1900,8.82,14,1.1,2.66,63.04,3537.57,80.96,0.91
25-01-2025,Dipka,Evening,600,552,48,384,4416,192,5156.58,2000,2118432,14438424,12319992,92,216,64,257.83,2389.18,410.82,2800,9.34,13.43,1.17,4.35,69.57,3156.58,85.33,0.86
26-01-2025,Korba,Evening,600,564,36,444,4512,186,4084.68,1333,1484288,7760892,6276604,94,156,74,306.43,1536.62,363.38,1900,7.24,9.2,0.91,4.12,78.72,2751.68,80.87,1.1
27-01-2025,Dipka,Evening,600,528,72,312,4224,67.2,5556.85,2000,2280390,15559180,13278790,88,288,52,277.84,2389.63,410.37,2800,10.52,17.81,1.32,1.59,59.09,3556.85,85.34,0.76
14-05-2025,Kusmunda,Morning,600,540,60,360,4320,205.2,5779.25,2500,3234487.5,12714350,9479862.5,90,240,60,231.17,1640.33,559.67,2200,10.7,16.05,1.34,4.75,66.67,3279.25,74.56,0.75
15-05-2025,Dipka,Morning,600,528,72,420,4224,290.4,5166.26,2000,2123604,14465528,12341924,88,180,70,258.31,2388.95,411.05,2800,9.78,12.3,1.22,6.87,79.55,3166.26,85.32,0.82
18-05-2025,Kusmunda,Night,600,516,84,324,4128,228,4815.91,2500,2705000.5,10595002,7890001.5,86,276,54,192.64,1638.32,561.68,2200,9.33,14.86,1.17,5.52,62.79,2315.91,74.47,0.86
19-05-2025,Dipka,Night,600,552,48,384,4416,117.6,5238.51,2000,2153904,14667828,12513924,92,216,64,261.93,2388.83,411.17,2800,9.49,13.64,1.19,2.66,69.57,3238.51,85.32,0.84
19-05-2025,Kusmunda,Evening,600,480,120,336,3840,187.2,5055.52,2500,2836886,11122144,8285258,80,264,56,202.22,1638.85,561.15,2200,10.53,15.05,1.32,4.87,70,2555.52,74.49,0.76
30-08-2025,Korba,Evening,600,564,36,420,4512,165.6,4996.98,1333,1804543,9494262,7689719,94,180,70,374.87,1538.87,361.13,1900,8.86,11.9,1.11,3.67,74.47,3663.98,80.99,0.9
31-08-2025,Dipka,Night,600,528,72,396,4224,108,5367.03,2000,2204012,15027684,12823672,88,204,66,268.35,2389.34,410.66,2800,10.16,13.55,1.27,2.56,75,3367.03,85.33,0.79
31-08-2025,Kusmunda,Evening,600,528,72,312,4224,136.8,4887.5,2500,2743625,10752500,8008875,88,288,52,195.5,1638.64,561.36,2200,9.26,15.67,1.16,3.24,59.09,2387.5,74.48,0.86
03-09-2025,Dipka,Night,600,564,36,384,4512,312,4612.49,2000,1905096,12914972,11009876,94,216,64,230.62,2386.97,413.03,2800,8.18,12.01,1.02,6.91,68.09,2612.49,85.25,0.98
03-09-2025,Kusmunda,Evening,600,540,60,432,4320,225.6,6059.89,2500,3390989.5,13331758,9940768.5,90,168,72,242.4,1640.42,559.58,2200,11.22,14.03,1.4,5.22,80,3559.89,74.56,0.71
05-09-2025,Kusmunda,Morning,600,552,48,384,4416,120,5336.27,2500,2989048.5,11739794,8750745.5,92,216,64,213.45,1639.86,560.14,2200,9.67,13.9,1.21,2.72,69.57,2836.27,74.54,0.83
08-09-2025,Kusmunda,Night,600,564,36,360,4512,73.2,6395.17,2500,3576243.5,14069374,10493130.5,94,240,60,255.81,1640.79,559.21,2200,11.34,17.76,1.42,1.62,63.83,3895.17,74.58,0.71
22-12-2025,Dipka,Morning,600,540,60,420,4320,51.6,5887.78,2000,2415412,16485784,14070372,90,180,70,294.39,2389.76,410.24,2800,10.9,14.02,1.36,1.19,77.78,3887.78,85.35,0.73
23-12-2025,Dipka,Night,600,564,36,420,4512,151.2,5287.38,2000,2172702,14804664,12631962,94,180,70,264.37,2389.08,410.92,2800,9.37,12.59,1.17,3.35,74.47,3287.38,85.32,0.85
25-12-2025,Korba,Morning,600,504,96,384,4032,56.4,5168.44,1333,1865404,9820036,7954632,84,216,64,387.73,1539.08,360.92,1900,10.25,13.46,1.28,1.4,76.19,3835.44,81,0.78
28-12-2025,Kusmunda,Morning,600,540,60,420,4320,60,5248.32,2500,2942076,11546304,8604228,90,180,70,209.93,1639.43,560.57,2200,9.72,12.5,1.21,1.39,77.78,2748.32,74.52,0.82
28-12-2025,Kusmunda,Evening,600,564,36,372,4512,289.2,5838.5,2500,3263025,12844700,9581675,94,228,62,233.54,1641.12,558.88,2200,10.35,15.69,1.29,6.41,65.96,3338.5,74.6,0.77
29-12-2025,Korba,Morning,600,528,72,396,4224,145.2,4613.26,1333,1672041,8765194,7093153,88,204,66,346.08,1537.56,362.44,1900,8.74,11.65,1.09,3.44,75,3280.26,80.92,0.92
12-04-2025,Dipka,Evening,600,492,108,348,3936,96,4603.68,2000,1891222,12890304,10999082,82,252,58,230.18,2389.19,410.81,2800,9.36,13.23,1.17,2.44,70.73,2603.68,85.33,0.85
12-04-2025,Korba,Night,600,504,96,408,4032,85.2,4731.25,1333,1711337.5,8989375,7278037.5,84,192,68,354.93,1538.29,361.71,1900,9.39,11.6,1.17,2.11,80.95,3398.25,80.96,0.85
14-04-2025,Korba,Morning,600,552,48,420,4416,219.6,4714.93,1333,1707225.5,8958367,7251141.5,92,180,70,353.71,1537.91,362.09,1900,8.54,11.23,1.07,4.97,76.09,3381.93,80.94,0.94
15-04-2025,Korba,Evening,600,504,96,360,4032,49.2,5206.08,1333,1883178,9891552,8008374,84,240,60,390.55,1538.27,361.73,1900,10.33,14.46,1.29,1.22,71.43,3873.08,80.96,0.77
15-04-2025,Korba,Night,600,564,36,408,4512,145.2,3659.85,1333,1340097.5,6953715,5613617.5,94,192,68,274.56,1533.84,366.16,1900,6.49,8.97,0.81,3.22,72.34,2326.85,80.73,1.23
16-04-2025,Kusmunda,Night,600,552,48,336,4416,103.2,5571.77,2500,3124673.5,12257894,9133220.5,92,264,56,222.87,1639.2,560.8,2200,10.09,16.58,1.26,2.34,60.87,3071.77,74.51,0.79
17-04-2025,Korba,Night,600,564,36,348,4512,243.6,4042.33,1333,1472565.5,7680427,6207861.5,94,252,58,303.25,1535.71,364.29,1900,7.17,11.62,0.9,5.4,61.7,2709.33,80.83,1.12
18-04-2025,Dipka,Morning,600,552,48,348,4416,70.8,5696.82,2000,2337228,15951096,13613868,92,252,58,284.84,2389.73,410.27,2800,10.32,16.37,1.29,1.6,63.04,3696.82,85.35,0.78
18-04-2025,Dipka,Evening,600,564,36,396,4512,157.2,5460.35,2000,2242640,15288980,13046340,94,204,66,273.02,2389.29,410.71,2800,9.68,13.79,1.21,3.48,70.21,3460.35,85.33,0.83
