date,area,shift,coal_production_tonnes,target_production,critical_roles_present,total_wage_cost,Total_Cost_INR,Revenue_INR,Net_Profit_INR
01-01-2025,Dipka,Morning,5699.32,2000,35,60300,2340028,15958096,13618068
01-01-2025,Dipka,Evening,4909.97,2000,30,55200,2019188,13747916,11728728
01-01-2025,Dipka,Night,5092.87,2000,30,56900,2094048,14260036,12165988
01-01-2025,Kusmunda,Morning,5927.74,2500,36,52700,3312957,13041028,9728071
01-01-2025,Kusmunda,Evening,5043.55,2500,31,53450,2827402.5,11095810,8268407.5
01-01-2025,Kusmunda,Night,5031.85,2500,30,59350,2826867.5,11070070,8243202.5
01-01-2025,Korba,Morning,4409.77,1333,27,56350,1599769.5,8378563,6778793.5
01-01-2025,Korba,Evening,5575.68,1333,34,58150,2009638,10593792,8584154
01-01-2025,Korba,Night,3963.28,1333,24,57000,1444148,7530232,6086084
02-01-2025,Dipka,Morning,5182.2,2000,31,54950,2127830,14510160,12382330
02-01-2025,Dipka,Evening,5127.6,2000,32,58500,2109540,14357280,12247740
02-01-2025,Dipka,Night,5423.89,2000,33,60950,2230506,15186892,12956386
02-01-2025,Kusmunda,Morning,4711.01,2500,28,52950,2644005.5,10364222,7720216.5
02-01-2025,Kusmunda,Evening,4445.53,2500,28,49850,2494891.5,9780166,7285274.5
02-01-2025,Kusmunda,Night,5538.59,2500,33,55500,3101724.5,12184898,9083173.5
02-01-2025,Korba,Morning,5020.81,1333,31,57650,1814933.5,9539539,7724605.5
02-01-2025,Korba,Evening,4706.85,1333,29,60200,1707597.5,8943015,7235417.5
02-01-2025,Korba,Night,4970.44,1333,30,57450,1797104,9443836,7646732
03-01-2025,Dipka,Morning,4804.91,2000,28,57950,1979914,13453748,11473834
03-01-2025,Dipka,Evening,4789.17,2000,29,53800,1969468,13409676,11440208
03-01-2025,Dipka,Night,5283.37,2000,32,60200,2173548,14793436,12619888
03-01-2025,Kusmunda,Morning,6193.06,2500,38,59750,3465933,13624732,10158799
03-01-2025,Kusmunda,Evening,5403.84,2500,32,58050,3030162,11888448,8858286
03-01-2025,Kusmunda,Night,5044.51,2500,31,52600,2827080.5,11097922,8270841.5
03-01-2025,Korba,Morning,4621.09,1333,28,56350,1673731.5,8780071,7106339.5
03-01-2025,Korba,Evening,5041.17,1333,31,57100,1821509.5,9578223,7756713.5
03-01-2025,Korba,Night,4570.48,1333,28,58700,1658368,8683912,7025544
04-01-2025,Dipka,Morning,5191,2000,32,56900,2133300,14534800,12401500
04-01-2025,Dipka,Evening,5443.4,2000,32,62550,2239910,15241520,13001610
04-01-2025,Dipka,Night,4544.17,2000,28,57000,1874668,12723676,10849008
04-01-2025,Kusmunda,Morning,4886.6,2500,30,50800,2738430,10750520,8012090
04-01-2025,Kusmunda,Evening,5925.98,2500,35,57200,3316489,13037156,9720667
04-01-2025,Kusmunda,Night,5472.23,2500,34,58050,3067776.5,12038906,8971129.5
04-01-2025,Korba,Morning,5535.47,1333,33,55600,1993014.5,10517393,8524378.5
04-01-2025,Korba,Evening,4696.02,1333,28,57850,1701457,8922438,7220981
04-01-2025,Korba,Night,4506.44,1333,28,52200,1629454,8562236,6932782
05-01-2025,Dipka,Morning,5547.39,2000,34,59350,2278306,15532692,13254386
05-01-2025,Dipka,Evening,5451.18,2000,32,58050,2238522,15263304,13024782
05-01-2025,Dipka,Night,5155.55,2000,31,60950,2123170,14435540,12312370
05-01-2025,Kusmunda,Morning,6274.16,2500,38,57300,3508088,13803152,10295064
05-01-2025,Kusmunda,Evening,5019.58,2500,31,49400,2810169,11043076,8232907
05-01-2025,Kusmunda,Night,5664.48,2500,34,60100,3175564,12461856,9286292
05-01-2025,Korba,Morning,4814.45,1333,29,55400,1740457.5,9147455,7406997.5
05-01-2025,Korba,Evening,4991.74,1333,31,58700,1805809,9484306,7678497
05-01-2025,Korba,Night,5705.03,1333,35,56150,2052910.5,10839557,8786646.5
06-01-2025,Dipka,Morning,5771.88,2000,36,56350,2365102,16161264,13796162
06-01-2025,Dipka,Evening,4131.66,2000,26,54750,1707414,11568648,9861234
06-01-2025,Dipka,Night,5699.09,2000,34,55700,2335336,15957452,13622116
06-01-2025,Kusmunda,Morning,4929.1,2500,29,57850,2768855,10844020,8075165
06-01-2025,Kusmunda,Evening,5548.37,2500,34,52400,3104003.5,12206414,9102410.5
06-01-2025,Kusmunda,Night,4681.49,2500,29,45250,2620069.5,10299278,7679208.5
06-01-2025,Korba,Morning,4797.8,1333,29,59650,1738880,9115820,7376940
06-01-2025,Korba,Evening,4054.29,1333,25,56150,1475151.5,7703151,6227999.5
06-01-2025,Korba,Night,4900.24,1333,29,57100,1772184,9310456,7538272
07-01-2025,Dipka,Morning,5925.69,2000,36,66400,2436676,16591932,14155256
07-01-2025,Dipka,Evening,5080.32,2000,32,57950,2090078,14224896,12134818
