date,area,shift,total_assigned,total_present,total_absent,critical_present,total_work_hours,total_overtime_hours,coal_production_tonnes,target_production,total_cost_inr,revenue_inr,net_profit_inr
07-02-2025,Korba,Morning,600,552,48,360,4416,121.2,4760.34,1333,1723219,9044646,7321427
08-02-2025,Korba,Evening,600,564,36,480,4512,133.2,4691.38,1333,1695783,8913622,7217839
10-02-2025,Kusmunda,Night,600,576,24,420,4608,231.6,5399.49,2500,3024569.5,11878878,8854308.5
14-02-2025,Dipka,Morning,600,564,36,384,4512,170.4,5966.09,2000,2448036,16705052,14257016
15-02-2025,Kusmunda,Night,600,564,36,408,4512,60,5004.9,2500,2804995,11010780,8205785
16-02-2025,Dipka,Evening,600,552,48,348,4416,124.8,5320.78,2000,2187012,14898184,12711172
08-06-2025,Korba,Morning,600,552,48,396,4416,183.6,3378.57,1333,1234499.5,6419283,5184783.5
08-06-2025,Korba,Night,600,492,108,372,3936,97.2,4794.62,1333,1737567,9109778,7372211
10-06-2025,Kusmunda,Morning,600,564,36,384,4512,205.2,5438.11,2500,3051260.5,11963842,8912581.5
10-06-2025,Kusmunda,Night,600,540,60,336,4320,80.4,4797.49,2500,2694219.5,10554478,7860258.5
11-06-2025,Dipka,Night,600,540,60,408,4320,272.4,5696.42,2000,2338768,15949976,13611208
11-06-2025,Kusmunda,Morning,600,516,84,396,4128,140.4,5506.65,2500,3082857.5,12114630,9031772.5
14-06-2025,Kusmunda,Night,600,540,60,324,4320,170.4,5291.98,2500,2966839,11642356,8675517
16-06-2025,Dipka,Night,600,588,12,456,4704,139.2,5845.91,2000,2395664,16368548,13972884
16-06-2025,Kusmunda,Evening,600,564,36,324,4512,225.6,5285.84,2500,2965062,11628848,8663786
17-06-2025,Dipka,Night,600,576,24,432,4608,106.8,6028.68,2000,2471672,16880304,14408632
17-06-2025,Kusmunda,Evening,600,504,96,312,4032,126,5734.29,2500,3212359.5,12615438,9403078.5
28-09-2025,Korba,Morning,600,504,96,384,4032,242.4,4677.98,1333,1689593,8888162,7198569
29-09-2025,Dipka,Evening,600,552,48,420,4416,218.4,5132.01,2000,2111304,14369628,12258324
29-09-2025,Korba,Morning,600,492,108,300,3936,100.8,4601.24,1333,1669684,8742356,7072672
29-09-2025,Korba,Night,600,528,72,384,4224,247.2,4428.24,1333,1605084,8413656,6808572
30-09-2025,Kusmunda,Evening,600,564,36,372,4512,110.4,6042.57,2500,3383063.5,13293654,9910590.5
01-10-2025,Kusmunda,Morning,600,540,60,396,4320,159.6,5369.96,2500,3006928,11813912,8806984
02-10-2025,Dipka,Evening,600,552,48,384,4416,43.2,5670.56,2000,2326174,15877568,13551394
03-10-2025,Kusmunda,Night,600,552,48,384,4416,192,5488.46,2500,3072853,12074612,9001759
04-10-2025,Dipka,Morning,600,588,12,456,4704,256.8,5593.24,2000,2293546,15661072,13367526
04-10-2025,Dipka,Evening,600,588,12,408,4704,255.6,5880.41,2000,2411414,16465148,14053734
